Holding_Ticker,Shares_Change,Change_Pct,Price,Price_Change_Pct,VWAP,Volume,Volume_Change_Pct,Shares_T0,Shares_T1
XTSLA,128733175.0,2.2902%,0.0,0.00%,0.0,0.0,0.00%,5749802457.0,5621069282.0
MSFUT,16097187.0,14.2036%,0.0,0.00%,0.0,0.0,0.00%,129428697.0,113331510.0
1208 HK,10443000.0,6.7318%,0.0,0.00%,0.0,0.0,0.00%,165573180.0,155130180.0
2899 HK,4071000.0,6.8301%,0.0,0.00%,0.0,0.0,0.00%,63674935.0,59603935.0
GLEN LN,3631450.0,6.6748%,0.0,0.00%,0.0,0.0,0.00%,58037017.0,54405567.0
1258 HK,3422000.0,6.7312%,0.0,0.00%,0.0,0.0,0.00%,54259600.0,50837600.0
3939 HK,3095500.0,6.5954%,0.0,0.00%,0.0,0.0,0.00%,50029460.0,46933960.0
SVL AU,3000704.0,4.7658%,0.0,0.00%,0.0,0.0,0.00%,65964576.0,62963872.0
SGAFT,2871000.0,1.5923%,0.0,0.00%,0.0,0.0,0.00%,183180100.0,180309100.0
358 HK,2714000.0,6.8526%,0.0,0.00%,0.0,0.0,0.00%,42319201.0,39605201.0
NVDA,2626732.560000181,0.1951%,213.17,-1.59%,211.6145,180312711.834183,-3.23%,1348668682.17,1346041949.61
ACI,2581175.0,7.7162%,16.56,-0.06%,16.5714,4648215.139094,-1.59%,36032473.0,33451298.0
AAL,2362217.0,5.1146%,11.64,-0.34%,11.6005,43259864.248872,1.76%,48547786.0,46185569.0
BRMS IJ,2134000.0,3.1509%,0.0,0.00%,0.0,0.0,0.00%,69860600.0,67726600.0
MIZUHO,2002000.0,100.0000%,0.0,0.00%,0.0,0.0,0.00%,2002000.0,0.0
IVN CN,1605980.0,6.7172%,0.0,0.00%,0.0,0.0,0.00%,25514446.0,23908466.0
WFC,1572710.9399999976,0.8372%,81.5,1.17%,81.5322,14826699.312894,-26.30%,189433996.5,187861285.56
BNP,1535693.0,30.3143%,0.0,0.00%,0.0,0.0,0.00%,6601588.0,5065895.0
AGPXX,1529497.8900000453,0.3749%,0.0,0.00%,0.0,0.0,0.00%,409491136.6,407961638.71
C,1508271.3900000006,1.2508%,128.53,-0.47%,128.7811,9585592.030116,55.71%,122096268.53,120587997.14
RY,1456000.0,22.4202%,177.76,0.62%,177.5287,1433230.796318,-36.11%,7950151.0,6494151.0
CS CN,1452580.0,6.7125%,0.0,0.00%,0.0,0.0,0.00%,23092558.0,21639978.0
NDM CN,1393580.0,6.7257%,0.0,0.00%,0.0,0.0,0.00%,22113768.0,20720188.0
GT,1259845.0,4.8803%,7.11,-0.42%,7.121,7582789.231555,-23.29%,27074548.0,25814703.0
CDE,1221048.0,1.8274%,17.85,-5.46%,17.8757,18221352.462574,72.43%,68038750.0,66817702.0
AAPL,1214836.1000000238,0.1569%,270.71,1.16%,270.5517,40016288.536489,-2.98%,775541378.71,774326542.61
SFR AU,1199470.0,6.7181%,0.0,0.00%,0.0,0.0,0.00%,19053674.0,17854204.0
COTY,1177012.0,4.2729%,2.45,2.08%,2.4508,7204164.153267,10.46%,28723253.0,27546241.0
INTC,1152484.5299999714,0.2603%,84.52,-0.55%,83.0546,147766628.516807,-16.43%,443951739.52,442799254.99
GSISW,1130000.0,7.5535%,0.0,0.00%,0.0,0.0,0.00%,16090000.0,14960000.0
DSV CN,1118192.0,4.7646%,0.0,0.00%,0.0,0.0,0.00%,24586902.0,23468710.0
LUN CN,1107430.0,6.7122%,0.0,0.00%,0.0,0.0,0.00%,17606157.0,16498727.0
LRCX,1061884.7600000054,0.8489%,251.23,-3.18%,248.8746,11498417.123289,42.29%,126155415.23,125093530.47
HBM CN,1001230.0,6.7060%,0.0,0.00%,0.0,0.0,0.00%,15931485.0,14930255.0
VLY,973916.0,1.5701%,13.62,0.59%,13.5738,4678824.793236,3.72%,63004182.0,62030266.0
M,933743.0,4.5302%,19.43,-2.90%,19.6239,4746558.386179,43.01%,21545204.0,20611461.0
CLF,928730.0,1.4474%,10.22,-3.68%,10.2562,26018022.073584,-41.62%,65093286.0,64164556.0
HL,914159.0,0.9848%,17.84,-4.19%,17.794,11652487.794093,61.60%,93738373.0,92824214.0
STWD,882563.0,3.1649%,18.38,0.27%,18.3732,1910915.707922,-26.12%,28768684.0,27886121.0
KVUE,857873.0099999905,0.6421%,17.54,0.06%,17.6146,17242263.300964,-42.47%,134469361.54,133611488.53
CNH,826602.0,1.3037%,10.04,-2.05%,10.0486,15810738.200647,14.46%,64230399.0,63403797.0
NLY,814190.0,1.2217%,22.83,-0.04%,22.7905,4033950.092951,-24.41%,67459459.0,66645269.0
GSVR CN,807296.0,4.7660%,0.0,0.00%,0.0,0.0,0.00%,17745846.0,16938550.0
TGB,798860.0,6.4204%,7.21,-3.48%,7.2138,6260020.309453,47.71%,13241350.0,12442490.0
KD,774711.0,4.8285%,13.46,-0.96%,13.6536,3632829.789209,9.79%,16819298.0,16044587.0
MSFT,768874.4300000072,0.1929%,429.25,1.04%,427.1904,30436186.43838,-1.12%,399349503.25,398580628.82
FM CN,760510.0,6.7028%,0.0,0.00%,0.0,0.0,0.00%,12106707.0,11346197.0
VZ,708565.1400000155,0.2992%,47.24,0.30%,47.1566,28369818.203362,-25.18%,237540430.24,236831865.1
PLS AU,708313.0,0.9769%,0.0,0.00%,0.0,0.0,0.00%,73211666.0,72503353.0
AMZN,690940.5799999833,0.1398%,259.7,-0.54%,259.4742,42201950.226265,-5.58%,495048146.7,494357206.12
PLTR,680762.0800000131,0.3620%,141.18,-1.34%,141.8292,24754862.411956,-20.23%,188758234.18,188077472.1
AG CN,670752.0,4.7653%,0.0,0.00%,0.0,0.0,0.00%,14746539.0,14075787.0
2099 HK,649000.0,6.9690%,0.0,0.00%,0.0,0.0,0.00%,9961700.0,9312700.0
CRBG,637619.0,3.6713%,26.93,0.86%,26.9177,6407168.942586,-18.51%,18005320.0,17367701.0
SLVR CN,623696.0,4.7655%,0.0,0.00%,0.0,0.0,0.00%,13711440.0,13087744.0
IRT,613676.0,2.6409%,16.32,3.10%,16.2349,4689515.572741,213.93%,23850965.0,23237289.0
SBRA,606762.0,2.3204%,20.51,1.11%,20.4697,2946620.808097,75.56%,26755870.0,26149108.0
USL AU,603296.0,4.7656%,0.0,0.00%,0.0,0.0,0.00%,13262626.0,12659330.0
F,596780.9099999666,0.2215%,12.4,-0.72%,12.3521,44261036.472575,26.11%,269980071.4,269383290.49
BHP AU,595310.0,4.4707%,0.0,0.00%,0.0,0.0,0.00%,13911250.0,13315940.0
